,symbol,category,strike,ask,bid,due_date,ativo_alvo,volume,type,close,Dif.Book,p.strike,tmoney,Max_dif_book,VI_bid,VI_ask,days_to_maturity,delta_bid,delta_ask,in/on
731,LRENC158,CALL,15.85,0.69,0.65,2024-03-15,LREN3,1900.0,CALL,15.95,0.039999999999999925,0.6269592476489007,ATM,0.1595,40.053121987324566,42.977724220842816,12,99.99938298228092,99.99986372820725,ITM
732,LRENO158,PUT,15.85,0.49,0.46,2024-03-15,LREN3,0.0,PUT,15.95,0.02999999999999997,0.6269592476489007,ATM,0.1595,39.664181589660835,41.85822003326206,12,-0.0007487269066408508,-0.00024575267855153626,ITM
733,LRENC162,CALL,16.1,0.55,0.51,2024-03-15,LREN3,0.0,CALL,15.95,0.040000000000000036,0.9404388714733677,ATM,0.1595,38.923244636179156,41.80395813674793,12,99.99891385042042,99.99974514008785,OTM
734,LRENO163,PUT,16.35,0.74,0.7,2024-03-15,LREN3,0.0,PUT,15.95,0.040000000000000036,2.507836990595625,ATM,0.1595,37.74244544029063,40.67249403662982,12,-0.0019301856447273558,-0.00045919656631587813,OTM
735,LRENC166,CALL,16.6,0.33,0.31,2024-03-15,LREN3,2000.0,CALL,15.95,0.020000000000000018,4.075235109717882,ATM,0.1595,38.60827132765267,40.144846280805666,12,99.99871408780945,99.99939620692531,OTM
736,LRENC170,CALL,16.85,0.26,0.22,2024-03-15,LREN3,100.0,CALL,15.95,0.04000000000000001,5.642633228840139,ATM,0.1595,37.1932522816688,40.53014879977475,12,99.99746106176434,99.99949867492036,OTM
737,LRENP152,PUT,15.2,0.51,0.47,2024-04-19,LREN3,0.0,PUT,15.95,0.040000000000000036,4.702194357366771,ATM,0.1595,37.33963503638738,39.21229653696012,37,-4.0811798385220754e-11,-2.808864252301646e-12,ITM
738,LREND154,CALL,15.45,1.33,1.29,2024-04-19,LREN3,0.0,CALL,15.95,0.040000000000000036,3.1347962382445145,ATM,0.1595,36.227412249664894,38.01272387267905,37,99.99999999980977,99.99999999998406,ITM
739,LRENP154,PUT,15.45,0.6,0.56,2024-04-19,LREN3,0.0,PUT,15.95,0.039999999999999925,3.1347962382445145,ATM,0.1595,37.2597963461182,39.039866186592974,37,-4.600764214046649e-11,-3.6415315207705135e-12,ITM
740,LREND159,CALL,15.95,1.05,1.01,2024-04-19,LREN3,0.0,CALL,15.95,0.040000000000000036,0.0,ATM,0.1595,36.13596563578468,37.805590059740766,37,99.99999999978117,99.99999999997826,ITM
741,LRENP159,PUT,15.95,0.81,0.77,2024-04-19,LREN3,0.0,PUT,15.95,0.040000000000000036,0.0,ATM,0.1595,37.02494806112266,38.69424915494559,37,-6.480371794737039e-11,-6.106226635438361e-12,ITM
742,LREND170,CALL,16.45,0.8,0.77,2024-04-19,LREN3,0.0,CALL,15.95,0.030000000000000027,3.1347962382445145,ATM,0.1595,35.88061527446057,37.11168485677497,37,99.99999999968631,99.99999999994164,OTM
743,LRENP170,PUT,16.45,1.06,1.02,2024-04-19,LREN3,0.0,PUT,15.95,0.040000000000000036,3.1347962382445145,ATM,0.1595,36.6803013347605,38.32149640679427,37,-1.0587086762825493e-10,-1.0602629885170245e-11,OTM
